List of universities in France:
state_province     domain      country                       web pages                                  name               alpha two code
null           [ensccf.univ-bpclermont.fr]         France     [http://ensccf.univ-bpclermont.fr/]     Ecole Nationale Supérieure de Chimie de Clermont-Ferrand     FR
null           [ensc-lille.fr]         France     [http://www.ensc-lille.fr/]     Ecole Nationale Supérieure de Chimie de Lille     FR
null           [enscm.fr]         France     [http://www.enscm.fr/]     Ecole Nationale Supérieure de Chimie de Montpellier     FR
null           [enscmu.univ-mulhouse.fr]         France     [http://www.enscmu.univ-mulhouse.fr/]     Ecole Nationale Supérieure de Chimie de Mulhouse     FR
null           [enscpb.u-bordeaux.fr]         France     [http://www.enscpb.u-bordeaux.fr/]     Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux     FR
null           [enscp.jussieu.fr]         France     [http://www.enscp.jussieu.fr/]     Ecole Nationale Supérieure de Chimie de Paris     FR
null           [ensc-rennes.fr]         France     [http://www.ensc-rennes.fr/]     Ecole Nationale Supérieure de Chimie de Rennes     FR
null           [ensea.fr]         France     [http://www.ensea.fr/]     Ecole Nationale Supérieure de l'Electronique et de ses Applications     FR
null           [enseeiht.fr]         France     [http://www.enseeiht.fr/]     Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse     FR
null           [enseeiht.fr]         France     [http://www.enseeiht.fr/]     Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse     FR
null           [ensem.u-nancy.fr]         France     [http://www.ensem.u-nancy.fr/]     Ecole Nationale Supérieure Electricité et Mécanique     FR
null           [enserb.u-bordeaux.fr]         France     [http://www.enserb.u-bordeaux.fr/]     Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux     FR
null           [ens-fcl.fr]         France     [http://www.ens-fcl.fr/]     Ecole Normale Supérieure de Fontenay-Saint Cloud     FR
null           [ens.fr]         France     [http://www.ens.fr/]     Ecole Normale Supérieure de Paris     FR
null           [ensg.ign.fr]         France     [http://www.ensg.ign.fr/]     Ecole Nationale des Sciences Géographiques     FR
null           [ensg.u-nancy.fr]         France     [http://www.ensg.u-nancy.fr/]     Ecole Nationale Supérieur de Géologie de Nancy     FR
null           [ensica.fr]         France     [http://www.ensica.fr/]     Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique     FR
null           [ensica.fr]         France     [http://www.ensica.fr/]     École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques     FR
null           [ensic.u-nancy.fr]         France     [http://www.ensic.u-nancy.fr/]     Ecole Nationale Supérieure des Industries Chimiques de Nancy     FR
null           [ensieta.fr]         France     [http://www.ensieta.fr/]     Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement     FR
null           [ensitm.fr]         France     [http://www.ensitm.fr/]     Ecole Nationale Supérieure des Industries Textiles de Mulhouse     FR
null           [ens-lyon.fr]         France     [http://www.ens-lyon.fr/]     Ecole Normale Supérieure de Lyon     FR
null           [ensma.fr]         France     [http://www.ensma.fr/]     Ecole Nationale Supérieur de Mécanique et d'Aéronautique     FR
null           [ensm-ales.fr, mines-ales.fr, mines-ales.org]         France     [https://www.mines-ales.fr/]     Ecole Nationale Supérieure des Mines d'Alès     FR
null           [ensm-douai.fr]         France     [http://www.ensm-douai.fr/]     Ecole Nationale Supérieure des Mines de Douai     FR
null           [ensmp.fr]         France     [http://www.ensmp.fr/]     Ecole Nationale Supérieure des Mines de Paris     FR
null           [enspm.u-3mrs.fr]         France     [http://www.enspm.u-3mrs.fr/]     Ecole Nationale Supérieure de Physique de Marseille     FR
null           [ensta.fr]         France     [http://www.ensta.fr/]     Ecole Nationale Supérieure de Techniques Avancées     FR
null           [enst-bretagne.fr]         France     [http://www.enst-bretagne.fr/]     Ecole Nationale Supérieure des Telecommunications de Bretagne     FR
null           [enst.fr]         France     [http://www.enst.fr/]     Ecole Nationale Supérieure des Telecommunications de Paris     FR
null           [entpe.fr]         France     [http://www.entpe.fr/]     Ecole Nationale des Travaux Publics de l'Etat     FR
null           [envt.fr]         France     [http://www.envt.fr/]     Ecole Nationale Vétérinaire de Toulouse     FR
null           [epf.fr]         France     [http://www.epf.fr/]     EPF Ecole d'Ingénieurs     FR
null           [esa-purpan.fr]         France     [http://www.esa-purpan.fr/]     Ecole Supérieure d'Agriculture de Purpan     FR
null           [esc-bordeaux.fr]         France     [http://www.esc-bordeaux.fr/]     Ecole Supérieure de Commerce de Bordeaux     FR
null           [esc-brest.fr]         France     [http://www.esc-brest.fr/]     Ecole Supérieure de Commerce de Brest     FR
